time_days,flux_normalized
0.0,0.999872
0.020434,0.999975
0.040869,0.999934
0.061303,0.999935
0.081737,0.999902
0.102172,0.999965
0.122606,0.999949
0.14304,0.999934
0.163475,0.999996
0.183909,0.999966
0.204343,0.99998
0.224778,1.000045
0.245212,1.000042
0.265646,1.000062
0.286081,1.000005
0.306515,0.999978
0.326949,0.999987
0.347384,1.000014
0.367818,1.000044
0.388252,1.000008
0.408687,0.999981
0.429121,1.000035
0.449555,1.000036
0.46999,1.00002
0.490424,1.000013
0.510858,1.000024
0.531293,1.000115
0.551727,1.000093
0.572161,1.000027
0.592596,0.999997
0.61303,1.000003
0.633464,0.999967
0.653899,1.000011
0.674333,1.00001
0.694767,0.999965
0.715202,0.999982
0.735636,0.999577
0.75607,0.995141
0.776505,0.993708
0.796939,0.993548
0.817373,0.993318
0.837808,0.993257
0.858242,0.993693
0.878676,0.994463
0.899111,0.998887
0.919545,0.999993
0.939979,0.99987
0.960414,1.000037
0.980848,0.999913
1.001283,0.99991
1.021717,0.999923
1.042151,0.999946
1.062586,0.999999
1.08302,1.000051
1.103454,0.999939
1.123889,1.000041
1.144323,1.000012
1.164757,1.000011
1.185192,0.999978
1.205626,0.999914
1.22606,1.000149
1.246495,1.000044
1.266929,1.000007
1.287363,1.000009
1.307798,1.000071
1.328232,0.999965
1.348666,1.000015
1.369101,0.999981
1.389535,0.999988
1.409969,0.999939
1.430404,1.000115
1.450838,1.000053
1.471272,0.999988
1.491707,1.000038
1.512141,1.000036
1.532575,0.999984
1.55301,1.000042
1.573444,1.000002
1.593878,1.000059
1.614313,1.000095
1.634747,1.000054
1.655181,0.999981
1.675616,1.000055
1.69605,1.000199
1.716484,1.000024
1.736919,1.000061
1.757353,1.000024
1.777787,1.000011
1.798222,0.999977
1.818656,1.000046
1.83909,0.999983
1.859525,0.999965
1.879959,1.000027
1.900393,0.999949
1.920828,0.999943
1.941262,0.999904
1.961696,0.999919
1.982131,1.000001
2.002565,1.000103
2.022999,0.99994
2.043434,1.0001
2.063868,1.000003
2.084302,1.000181
2.104737,1.00017
2.125171,1.000085
2.145605,1.000218
2.16604,1.000156
2.186474,1.000049
2.206908,1.000143
2.227343,1.000172
2.247777,1.000082
2.268211,1.000035
2.288646,1.000112
2.30908,1.000008
2.329515,1.000035
2.349949,1.00005
2.370383,1.000043
2.390818,0.999973
2.411252,1.000004
2.431686,1.000094
2.452121,0.999947
2.472555,0.999905
2.492989,0.999922
2.513424,0.999955
2.533858,0.999889
2.554292,0.999926
2.574727,0.999875
2.595161,0.999907
2.615595,0.999918
2.63603,0.999857
2.656464,0.999979
2.676898,0.999934
2.697333,0.999953
2.717767,0.999834
2.738201,0.999885
2.77907,0.999842
2.799504,0.999781
2.819939,0.999834
2.840373,0.999806
2.860807,0.99986
2.881242,0.999836
2.901676,0.999767
2.92211,0.999835
2.942545,0.999147
2.962979,0.994629
2.983413,0.993512
3.003848,0.99329
3.024282,0.993137
3.044716,0.99328
3.065151,0.993694
3.085585,0.994698
3.106019,0.999177
3.126454,1.000127
3.146888,1.000069
3.167322,1.000068
3.187757,1.000016
3.208191,0.999987
3.228625,1.000014
3.24906,0.999823
3.269494,1.000065
3.289928,0.999937
3.310363,1.000032
3.330797,1.000072
3.351231,1.000113
3.371666,1.000071
3.3921,1.000033
3.412534,0.999984
3.432969,1.000103
3.453403,1.000124
3.473837,1.000074
3.494272,1.000143
3.514706,1.00006
3.53514,1.000067
3.555575,1.00001
3.576009,1.000007
3.596443,1.000089
3.616878,1.000059
3.637312,1.000098
3.657746,1.000033
3.678181,1.000073
3.698615,1.000058
3.719049,1.000063
3.739484,1.00009
3.759918,1.000125
3.780353,1.000065
3.800787,1.00009
3.821221,1.000111
3.841655,1.000099
3.86209,1.00013
3.882524,1.000095
3.902959,1.000093
3.923393,1.000055
3.943827,1.000113
3.964262,1.000075
3.984696,1.000108
4.00513,1.000199
4.025565,1.000158
4.045999,1.000078
4.066433,0.999964
4.086868,0.999935
4.107302,0.999839
4.127736,0.999999
4.148171,0.999902
4.168605,0.999912
4.189039,0.999945
4.209474,0.999994
4.229908,1.000057
4.250342,0.999968
4.270777,1.000001
4.291211,0.999984
4.311645,0.999997
