date,value
1880-01-01,-0.179
1881-01-01,-0.092
1882-01-01,-0.115
1883-01-01,-0.177
1884-01-01,-0.285
1885-01-01,-0.336
1886-01-01,-0.317
1887-01-01,-0.365
1888-01-01,-0.178
1889-01-01,-0.109
1890-01-01,-0.355
1891-01-01,-0.226
1892-01-01,-0.274
1893-01-01,-0.314
1894-01-01,-0.307
1895-01-01,-0.228
1896-01-01,-0.116
1897-01-01,-0.112
1898-01-01,-0.278
1899-01-01,-0.177
1900-01-01,-0.086
1901-01-01,-0.155
1902-01-01,-0.283
1903-01-01,-0.372
1904-01-01,-0.477
1905-01-01,-0.264
1906-01-01,-0.226
1907-01-01,-0.388
1908-01-01,-0.43
1909-01-01,-0.489
1910-01-01,-0.442
1911-01-01,-0.448
1912-01-01,-0.372
1913-01-01,-0.352
1914-01-01,-0.163
1915-01-01,-0.148
1916-01-01,-0.364
1917-01-01,-0.462
1918-01-01,-0.303
1919-01-01,-0.28
1920-01-01,-0.279
1921-01-01,-0.192
1922-01-01,-0.285
1923-01-01,-0.269
1924-01-01,-0.272
1925-01-01,-0.223
1926-01-01,-0.111
1927-01-01,-0.221
1928-01-01,-0.203
1929-01-01,-0.364
1930-01-01,-0.16
1931-01-01,-0.097
1932-01-01,-0.162
1933-01-01,-0.288
1934-01-01,-0.128
1935-01-01,-0.202
1936-01-01,-0.151
1937-01-01,-0.032
1938-01-01,-0.003
1939-01-01,-0.021
1940-01-01,0.118
1941-01-01,0.178
1942-01-01,0.062
1943-01-01,0.087
1944-01-01,0.201
1945-01-01,0.095
1946-01-01,-0.072
1947-01-01,-0.027
1948-01-01,-0.106
1949-01-01,-0.108
1950-01-01,-0.175
1951-01-01,-0.068
1952-01-01,0.011
1953-01-01,0.082
1954-01-01,-0.132
1955-01-01,-0.14
1956-01-01,-0.188
1957-01-01,0.047
1958-01-01,0.059
1959-01-01,0.031
1960-01-01,-0.025
1961-01-01,0.058
1962-01-01,0.031
1963-01-01,0.053
1964-01-01,-0.198
1965-01-01,-0.107
1966-01-01,-0.055
1967-01-01,-0.024
1968-01-01,-0.083
1969-01-01,0.052
1970-01-01,0.028
1971-01-01,-0.08
1972-01-01,0.008
1973-01-01,0.161
1974-01-01,-0.072
1975-01-01,-0.013
1976-01-01,-0.098
1977-01-01,0.178
1978-01-01,0.066
1979-01-01,0.162
1980-01-01,0.253
1981-01-01,0.321
1982-01-01,0.137
1983-01-01,0.311
1984-01-01,0.154
1985-01-01,0.118
1986-01-01,0.179
1987-01-01,0.32
1988-01-01,0.388
1989-01-01,0.272
1990-01-01,0.447
1991-01-01,0.405
1992-01-01,0.222
1993-01-01,0.231
1994-01-01,0.312
1995-01-01,0.443
1996-01-01,0.33
1997-01-01,0.465
1998-01-01,0.608
1999-01-01,0.381
2000-01-01,0.393
2001-01-01,0.532
2002-01-01,0.628
2003-01-01,0.615
2004-01-01,0.532
2005-01-01,0.678
2006-01-01,0.639
2007-01-01,0.664
2008-01-01,0.542
2009-01-01,0.657
2010-01-01,0.722
2011-01-01,0.607
2012-01-01,0.646
2013-01-01,0.676
2014-01-01,0.748
2015-01-01,0.896
2016-01-01,1.012
2017-01-01,0.914
2018-01-01,0.848
2019-01-01,0.978
2020-01-01,1.007
2021-01-01,0.847
2022-01-01,0.891
2023-01-01,1.168
2024-01-01,1.284
2025-01-01,1.192
